5	1786	"nothing"
1786	3118	"chorus A"
3118	4229	"chorus B"
4229	5564	"chorus A"
5564	6675	"chorus B"
6675	7569	"nothing"
7569	8454	"nothing"
8454	8897	"nothing"
8897	10232	"chorus A"
10232	11341	"chorus B"
11341	12230	"nothing"
12230	13115	"nothing"
13115	13562	"nothing"
13562	14449	"nothing"
14449	15338	"nothing"
15338	16227	"nothing"
16227	17112	"nothing"
17112	18006	"nothing"
18006	18892	"nothing"
18892	19781	"nothing"
19781	20670	"nothing"
20670	22896	"nothing"
22896	24228	"chorus A"
24228	26359	"chorus B"
