0.000000000	b
10.230204081	m:withm
14.377891156	b
15.197505668	m:withm
19.481292517	b
20.468208616	m:withm
25.033310657	b
25.405804988	m
29.814399092	b
40.882902494	m:withm
44.980997732	b
45.853310657	m:withm
49.987596371	b
51.108208616	m:withm
55.751201814	b
56.059092970	m:withm
60.349591836	b
61.327800453	m:withm
65.525396825	b
66.410498866	m:withm
70.852108843	b
71.481111111	m:withm
75.675691609	b
76.603310657	m:withm
80.746893424	b
81.740294784	m:withm
85.866394557	b
86.706893424	m:withm
90.861995464	b
91.945102040	m:withm
96.528888888	b
96.890589569	m
101.373990929	b
112.333990929	m:withm
116.335011337	b
117.299002267	m:withm
121.305011337	b
122.580997732	m:withm
127.192993197	b
127.536009070	m:withm
131.938004535	b
132.782993197	m:withm
137.110997732	b
137.869002267	m:withm
142.257006802	b
142.977006802	m:withm
147.419002267	b
148.085011337	m:withm
152.397006802	b
153.028004535	m
157.360997732	b
158.157006802	m
162.286009070	b
163.426009070	m
167.916009070	b
168.427006802	m
172.637006802	b
173.482993197	m
179.017006802	b
191.640816326	n
192.271405895	e
