0.000000000	b
13.842403628	f
16.196303854	b
17.220090702	f
19.781995464	b
20.256802721	f
25.739501133	b
27.471995464	f
29.961791383	b
30.932902494	f
33.526099773	b
34.016598639	f
39.518390022	b
40.277800453	f
43.514897959	b
47.282902494	f
48.849705215	b
49.374308390	f
52.128095238	b
52.871609977	f
54.889410430	b
55.833310657	f
58.493492063	b
60.953401360	f
62.580997732	b
63.129705215	f
65.776190476	b
66.109909297	f
68.631405895	b
69.103809523	f
72.272403628	b
73.829297052	f
76.211609977	b
77.223401360	f
79.769002267	b
80.266190476	f
85.785396825	b
87.464104308	f
89.961111111	b
90.959206349	f
93.380408163	b
94.009501133	f
99.555691609	b
100.245011337	f
103.136009070	b
107.220997732	f
108.900000000	b
109.456009070	f
112.150000000	b
112.832993197	f
114.941995464	b
115.761995464	f
118.570000000	b
120.990000000	f
122.595011337	b
123.089002267	f
125.721995464	b
126.097006802	f
128.536009070	b
129.146009070	f
132.252993197	b
133.857006802	f
136.217006802	b
137.228004535	f
139.796009070	b
140.280997732	f
145.822993197	b
147.451995464	f
149.940000000	b
150.967006802	f
153.370000000	b
153.972993197	f
159.469002267	b
160.269002267	f
163.353990929	b
214.437006802	f
217.052993197	b
217.868004535	f
220.266009070	b
220.893990929	f
226.673990929	b
228.043990929	f
230.460000000	b
231.549002267	f
233.951995464	b
234.538004535	f
239.940997732	b
241.849002267	f
244.318004535	b
245.207006802	f
247.600997732	b
248.260000000	f
253.795011337	b
255.430997732	f
258.103990929	b
258.957006802	f
261.526009070	b
261.960997732	f
267.542993197	b
268.265011337	f
271.990000000	b
284.412789115	e
