0.000000000	p
1.860498866	b
31.363900226	f
32.936802721	b
33.225464852	f
34.803809523	b
35.088253968	f
36.676893424	b
36.911020408	f
38.599274376	b
38.768616780	f
40.359183673	b
40.652335600	f
42.257959183	b
42.489478458	f
44.030022675	b
44.306802721	f
46.011360544	b
46.323809523	f:withm
47.884580498	b
48.033378684	f:withm
49.638752834	b
49.991836734	f:withm
51.544149659	b
51.693877551	f:withm
53.264784580	b
53.704716553	f:withm
55.187755102	b
55.394897959	f:withm
57.016326530	b
57.405736961	f:withm
58.775510204	b
59.036734693	f:withm
60.911700680	f
62.166349206	b
62.310748299	f
64.301904761	b
64.592108843	f
67.846099773	b
68.098390022	f
71.568820861	b
71.939092970	f
75.760907029	b
77.322448979	f:withg
80.916145124	f
84.571428571	b
84.936916099	f
88.212879818	b
88.416326530	f
91.916462585	b
92.089795918	f:withg
95.774535147	f
99.264467120	b
99.681632653	f
102.938571428	b
103.147482993	f
105.768956916	b
105.931065759	f:withg
110.531088435	b
125.526530612	f:withm
127.121814058	b
127.371428571	f:withm
128.955102040	b
129.191564625	f:withm
130.824875283	b
131.070725623	f:withm
132.692018140	b
133.093877551	f:withm
134.578027210	b
134.767346938	f:withm
136.416757369	b
136.767346938	f:withm
138.195736961	b
138.444036281	f:withm
140.261224489	f
143.583673469	b
143.942857142	f
147.213786848	b
147.453061224	f
150.977755102	b
151.314285714	f
155.151020408	b
156.702040816	f:withg
160.194036281	f
163.940839002	b
164.326530612	f
167.534693877	b
167.771428571	f
171.208163265	b
171.428571428	f:withg
175.126530612	f
178.660861678	b
178.996643990	f
182.257709750	b
182.538775510	f
185.422267573	f:withg
189.943605442	b
202.848979591	f
210.114285714	b
210.457142857	f
213.694943310	b
213.929795918	f
217.381768707	b
217.600000000	f:withg
221.276984126	f
224.778866213	b
225.164376417	f
228.473990929	b
228.677551020	f
231.268208616	b
231.428571428	f:withg
236.073492063	b
277.683786848	e
